,abstract
114,kembang internet indonesia pesat tanda tingkat jejaring sosial salah twitter twitter media komunikasi media sosial komentar positif negatif salah pandang masyarakat hadap pilih presiden analisis sentimen data twitter teliti laku analisis sentimen tweet twitter tema pilih presiden metode klasifikasi sentimen tweet dasar kamus leksikon double propagation data tweet twitter kumpul rentang maret april tweet tema pilpres teliti hasil parameter analisis sentimen hasil ratarata persentase positive negative neutral rather positive rather negative very positive very negative
115,aplikasi social messenger aplikasi online gratis tukar informasi bentuk teks gambar audio video internet tingkat aktif kembang teknologi internet peluang individu kelompok orang organisasi laku jahat dunia maya peras curi identitas tipu transaksi jenis tindak kriminal komputer smartphone aplikasi social messenger simpan data bukti aktivitas laku metode sidik forensik digital bukti digital profil perilaku sidik antisipasi tindak selidik artefak private chat tinggal aplikasi social messenger tools forensik digital forensic aplikasi social messenger laku storage memory mobile phone metode generic computer forensic investigation model gcfim fungsi laku cari barang bukti digital private chat storage memory ponsel tools sidik laku proses backup cepat laku rooting ponsel laku bypass password ponsel aman bukti digital ponsel laku capture address server aplikasi social messenger metode gcfim milik alur giat kompleks tahap metode tahap kumpul informasi informasi tahap lengkap banding metode digital forensic harap bantu sidik temu bukti digital rupa artefak private chat tinggal aplikasi social messenger storage memory ponsel data chat history data call history data kontak aplikasi social messenger
116,kembang internet indonesia pesat tanda jejaring sosial salah jejaring sosial marak twitter status cerita twitter sarana promosi kampanye milu data twitter polarisasi politik indonesia khusus jelang pilih presiden metode teliti sentimen analisis algoritma na ve bayes classifier analisis jejaring sosial hitung nilai atribut jaring hitung centrality data twitter kumpul data crawling data kumpul data subset data sentimen jokowi sentimen prabowo sentimen pilpres hasil proses analisis sentimen rupa klasifikasi kelas sentimen positif sentimen negatif sentimen netral nilai rerata hasil klasifikasi sentimen positif sentimen negatif sentimen netral klasifikasi hasil akurasi sentimen jokowi sentimen prabowo hitung akurasi klasifikasi metode rocs hasil proses analisis jejaring sosial hitung atribut jaring hasil total nodes total edges average degree average weighted degree network diameter average path length density number communities hitung centrality hasil aktor pengaruh interaksi jaring sosial peringkat akun jokowi peringkat akun sbyudhoyono peringkat akun detikcom peringkat akun yjuniardi peringkat akun mohmahfudmd
117,game rupa salah bentuk hibur hilang penat salah butuh iring jalan game nikmat smartphone milik android android rupa salah game kembang android hilang penat game media edukasi rancang khusus ajar kemas senang salah game edukasi angkat topik sejarah sejarah angkat game sejarah bandung laut game bangun metode mdlc multimedia development life circles tahap konsep rancang kumpul bahan uji game unity game engine bahasa program game kerja sistem operasi android game edukasi sejarah bandung laut basis android informasi kena sejarah bandung laut milik desain interaktif smartphone milik sistem operasi android
118,kembang otomotif kota bandung kembang pesat astra international auto toyota rupa salah usaha otomotif indonesia gerak bidang jual mobil tipe model data transaksi mobil usaha tumpuk arsip usaha data analisis metode data mining pakai usaha lihat pola jual mobil segi model tipe warna lainlain metode data mining pakai teliti kali kombinasi algoritma somrbf kombinasi algoritma somrbf clustering data klasifikasi data prediksi data data sedia cocok olah clustering pusat cluster algoritma hasil pusat cluster ganti nilai fungsi aktivasi gaussian hitung nilai error output hitung somrbf hitung mean squared error laku teliti data transaksi jual mobil data training data testing algoritma somrbf laku clustering hasil output nilai coba cluster beda output nilai error kombinasi algoritma clustering usaha strategi bisnis
119,sepak bola kembang indonesia lihat tanding prestasiprestasi raih timbul tarik antusias main bola indosesia utama orang arah hobi main sepak bola anakanak lihat kondisi informasi batas sumber informasi sekolah sepak bola aplikasi portal buah informasi kena sekolah sepak bola aplikasi bantu masyarakat luas infomasi mudah sebar informasi kena sekolah latih fasilitas prestasi aplikasi portal football schooll bangun framework codeigniter flash adobe imageready sybase power designer sqlyogenterprise olah basis data appserv local server metode analisis rancang sistem metode rancang usdp unified software development process tools unified modelling language bangun sistem harap mudah masyarakat penuh informasi dunia sepakbola khusus jawa barat
120,cambodia developing country among asi community really face with many problems such traffic security technology course there many shops cambodia that sell clothes shoes accessories other daily products most shops traditional reserve service their customer sell promotion that makes them cannot increase income waste time cost furthermore customers live from shop city also difficult find product handmade shop shop products some customers their hand they still care about their customer they afraid lose them because market competitor refer problem also research customer relationship management ecommerce solve those problem make easy both customer seller implementation system process handmade shop promote sell keep customer make them more income implementation ecommerce using handmade shop utilizing technologies system development using waterfall method this research expected help handmade shop improve business increase income promote product easily keep customer
121,wisata belanja rupa salah aktivitas giat wisata wisatawan wisata belanja uang barang pulang iring ubah tren pilih destinasi wisata belanja agam bandung rupa salah kota wisata tarik wisatawan salah wisata belanja minat wisatawan factory outlet distro akses tuju kendala alami wisatawan akses rute jalan factory outlet distro wisatawan informasi rinci kena produkproduk factory outlet distro salah solusi bangun aplikasi wisata belanja bandung basis mobile aplikasi mobile bangun aplikasi maps mudah wisatawan tuju factory outlet distro maps buah jasa peta global virtual grafis online sedia google httpmapsgooglecom aplikasi wisata belanja bandung bangun macromedia dreamweaver rational rose sqlyog olah basis data xampp local server metode analisis rancang sistem metode usdp unified software development process tools unified modelling language
122,bank salur kartu kredit masyarakat tuju untung bentuk bunga alat promosi sifat konsumtif imbang hasil debitur tunggak bank mandiri program ringan bunga denda ongkos bunga denda ongkos program kering ikan debitur kartu kredit bank mandiri alam tunggak kartu kredit liput kriteria bayar tunggak otomatis masuk collect sesuai kriteria aju program ringan selesai kartu kredit bank mandiri hasil program bank mandiri laku prediksi rugi kartu kredit ramal bantu prediksi rugi metode forecasting metode forecasting metode metode kuantitatif metode moving average metode exponential smoothing metode trend projection laku hitung metode dipilihmaka hasil uji aplikasi dilakukanmenunjukkan metode moving average hasil prediksi error exponential smoothing hasil prediksi error trend projection hasil prediksi data uji hasil metode moving average metode ratarata error hasil
123,transportasi mobil indonesia kian tingkat iring masyarakat butuh mobil showroom saing promosi produk tarik minat konsumen beli produk buah vendor manfaat metode augmented reality promosi produk brosur bentuk digital perangkat mobile tarik minat konsumen konsumen lihat bentuk visual mobil media brosur digital marker alat raga identifikasi kamera muncul buah objek layar objek software blender aplikasi unity brosur promosi bentuk digital media alternatif pasar hemat biaya brosur kembang brosur digital laku arah rancang tampil brosur ganti marker standar bentuk
124,giat bisnis pengaruh butuh hadap informasi dukung kerja usaha hasil putus strategi usaha saing puas langgan rupa strategi utama bangun hubung jangka langgan usaha tahan langgan tingkat layan pengaruh hadap profitabilitas usaha hubung langgan usaha datadata lengkap langgan data pribadi langgan barang pesan langgan teliti tulis rancang bangun buah aplikasi basis terap customer relationship management website isi fasilitas bantu usaha bina komunikasi langgan fitur olah data langgan saran kritik fasilitas butuh langgan kait sedia produk daftar langgan tahap kembang aplikasi tulis metode sdlc system development life cycle siklus hidup kembang sistem rancang solusi penuh butuh usaha dukung tuju strategi bisnis langkahlangkah analisis rancang implementasi
125,development technology field operation becomes target creating mobile application exchange knowledge experiences among fellow field operations difficult executed since they have limited space share however doyoucare application offers solution fellow field operations they always productive while putting their knowledge good sharing doyoucare itself management application that offers knowledge regarding field operations method that used examination system usability scale result showed that system decent usability with effective percentage percentage satisfactory test respondents that consist field technician office staff performing test based implementing knowledge management functions average concluded success reaching middle values terms functionality shows that doyoucare application quite satisfactory when comes utilization implementation knowledge management filed operation
126,vicy tani rupa usaha kebumen jawa usaha jual jenis beras tani hasil panen usaha bertahuntahun jalan usaha aplikasi komputerisasi laku hitung untung jadwal kirim biaya kirim usaha vicy tani salah lonjak biaya kirim proses kirim beras jadwal bangun aplikasi teliti terap sales distribution algoritma simpleks optimal untung distribution resource planning proses distribusi beras hasil harap bangun aplikasi usaha mudah untung jual biaya kirim beras
127,maju perangkat mobile ikat terhadapa perangkat mobile tingkat sedia smartphoneaplikasi hadir versi konten gratis hasil uang iklan konten bayar hasil uang biaya langgan sumber daya energi bandwidthsumber daya listrik iklan situs aplikasi gratis signifikan pengaruh sumberdaya isuisu paham ekosistem mobile advertising sumber daya batas efisien karya teknik browsing mobile terhadapa pakai energi bandwidth baterai parameter jaring wifig beda website uji halaman aktif iklan blokir aktif laku lihat pakai bandwidth baterai jaring uji batas akses iklan sistem hasil lihat konsumsi bandwidth baterai jaring wifi
128,rekayasa perangkat lunak rupa disiplin ilmu kembang evolusi butuh teknikteknik bangun buah perangkat lunak agam terkadang bingung pulai bangun buah perangkat lunak pilih timbang ambil orang putus bangun buah perangkat lunak pilih bahasa program paradigma pilih notasi model halhal mesti timbang pilih sumber daya sedia sisi hardware software brainware kegagalankegagalan kembang perangkat lunak faktor gagal kembang perangkat lunak salah cepat ubah atur bisnis usaha perangkat lunak bangun nyata sesuai atur bisnis laku usaha buah perangkat lunak evolusi ubah atur bisnis senantiasa ubah buah perangkat lunak modifikasi penuh butuh kendala modifikasi timbul timbul bugs error duga meminimalisir bugs error sebar sistem sulit lacak bentuk separation concernsoc domain domainsub domain tugas kembang buah sistem inventaris studi bangun sistem orientasi objek manfaat prinsip hasil tugas buah perangkat lunak sistem inventaris aksesoris komputer bangun sistem metode waterfall bangun aplikasi bahasa program server basis data implementasi aplikasi sistem operasi windows
129,touring rupa aktivitas kendara bersamasama tuju komunitas touring temu laku aktivitas touring salah komunikasi member touring pilih jalur jalan efektif effisien teknologi bangun sistem aplikasi dukung cari rute jalan aplikasi touring terap metode floydwarshali knearest neighbor basis contextual awareness platform apilkasi android manfaat algoritma floydwarshali sistem rute jalan pendek rute jalan jalan efektif effisien floydwarshali aplikasi terap algoritma knearest neighbor posisi anggota touring tuju indicator alat bantu member tinggal salah jalur rute jalan hasil teliti sistem metode floydwarshali rute jalur pendek rute jalan metode knearest neighbor anggota member giat touring hasil teliti harap alternative pilih laku jalan rute jalan efektif effesien
130,layan sehat tuntut hadap saing ketat layan sehat salah strategi terap layan sehat layan hubung dokter pasien layan puskesmas periksa obat dokter hasil periksa obat dianalisa data resep obat hasil informasi rupa pola atur asosiasi milik puskemas pasang obat cocok proses generate frequent itemset generate atur asosiasi solusi puskesmas hubung itemset itemset lihat milik puskesmas tulis teliti tuju pasang obat cocok minimum support confidence algoritma apriori data rekam medis resep obat periode minimum support confidence hasil frequent itemset iterasi rules eksekusi frequent itemset iterasi rules minimum support confidence algoritma apriori hasil algoritma apriori eksekusi algoritma apriori banding algoritma apriori hasil teliti eksekusi algoritma apriori cepat banding eksekusi algoritma apriori
131,smartphone pilih telepon seluler developer aplikasi skala kembang aplikasi smartphone aplikasi media digital metode ajar digital social network game sebagainyasaat developer aplikasi platform android platform popular timbang platform android pilih kembang aplikasi sifat open source biaya kembang butuh biaya aplikasi game basis android populer masyarakat jenis game main sarana hibur edukasi bangun buah aplikasi game tema edukasi judul life story ilmu putar ilmu tani botani proses penganalisaan sistem aplikasi life story basis android flowchart diagram alir case diagram sequence diagram tools dukung penganalisaan proses sistem aplikasi bangun tools adobe flash model bangun addie model analysis design development implementation evaluation aplikasi life story basis android salah alternatif pilih game edukasi khusus perangkat ponsel tablet jalan sistem operasi android
132,baca rupa gerbang utama baca wawas kembang teknologi internet salah media artikel artikel baharu realtime internet dorong proses artikel cepat butuh baca butuh buah cepat paham artikel proses aplikasi text preprocessing saring kandung makna terap metode tfidf tuju hitung bobot kalimat metode fuzzy means rupa teknik pengclusteran titik data cluster derajat anggota pilih kalimat dasar bobot kalimat cluster ambil compression uji hasil ringkas sistem cluster hasil ratarata recall precision fmeasure nilai hasil ringkas sistem expert judgement hasil nilai ratarata akurasi ringkas teks bantu baca cepat mudah paham makna buah artikel baca teks
133,wedding organizer bisnis bidang jasa fungsi bantu calon pengantin keluarga rencana laksana rangkai acara pesta nikah klien sulit laku pesan barang jasa wedding organizer wedding organizer tangan barang jasa wedding organizer fokus sewa promosi jadwal giat nikah progress giat laksana laksana ukur selesai supply chain management selesai barang jasa kelola jadwal terap wedding organizer sistem informasi wedding organizer manfaat teknologi informasi baris bahasa program mysql metode kembang sistem metode waterfall teliti mudah klien laku pesan wedding organizer admin informasi kena barang jasa mudah klien pantau giat nikah singkat nikah jadwal giat
134,agen properti rupa buah agen sedia layan jual beli sewa lahan bangun agen properti milik daftar listing sumber daftar listing observasi kerjsama observasi agen properti laku survei lahan bangun jual milik properti kerjasama milik properti calon jual kantor agen properti laku janji laku janji agen properti daftar listing proses bisnis usaha mitra properti syariah agen properti daftar listing sesuai metode daftar listing proses admin website masuk database pusat server promosi website mitra properti syariah kendala admin alam sulit kumpul daftar listing alas daftar listing sentralisasi pusat daftar listing sebar agen agen milik akses masuk daftar listing database website proses bisnis jalan kembang aplikasi listing properti basis android harap solusi mitra properti syariah teknologi service aplikasi kembang integrasi server website agen mudah kelola daftar listing mandiri aplikasi admin kelola daftar listing sentralisasi
135,kota padang ibukota provinsi sumatera barat indonesia rawan gempa bumi patah semangko darat temu lempeng australia lempeng eurasia dasar laut belah barat pulau sumatera tsunami kesiapsiagaan antisipasi bencana duduk kota padang berita gempa tsunami panik duduk kota padang informasi sulit cari aman lindung bencana alam melatarbelakangi aplikasi tuju informasi tempattempat ungsi sheltershelter kota padang pilih bencana alam aplikasi bangun android developer tools bahasa program java halaman susun codeigniter framework bahasa program mysql database aplikasi bangun aplikasi harap bantu antisipasi bencana alam korban jiwaaplikasi informasi akses ungsi shelter pilih sedia tombol help butuh bantu harap tolong dengat cepat sinyal alarm gempa notifikasi telepon seluler admin aplikasi android tekan tombol help menu aplikasi
136,butuh layan mobile cepat handal dasar layan multimedia internet tingkat bidang riset laku hasil konten multimedia nikmat online mobile wimax rupa alternetif tunjang butuh layan datarate mpbs teknologi wlan lainlain mobile wimax cakup area luas iptv muncul perangkat gerak nama mobile layan iptv akses gerak perangkat butuh teknologi dukung mobility terima layan iptv layan iptv khusus jaring mobile wimax pengaruh cepat gerak user hubung transmisi video kirim konten iptv jaring wimax transmisi video scalable video coding teliti laku simulasi analisis hadap mobilitas wimax jaring langgan iptv timbang transmisi video video streaming kirim konten layan iptv langgan teliti laku opnet modeler variasi gerak user konstan lihat parameter banding kualitas jaring masingmasing cepat rancang parameter analisis rupa packetendtoenddelay packet delay variationjitter delay throughput hasil coba codec layan iptv tingkat kualitas video subscriber laku handover mobilitas codec packet endtoend delay detik cepat kmjam jitter detik delay detik throughput alam penuruan posisi
137,sebar email dingin spam lalulintas internet dampak rendah efisiensi turun produktifitas kerja email mail server yahoo mail google mail milik mesin spam filtering luput spam spam masuk inbox email na ve bayes classifier salah naive bayes classifier bayesian filter rupa metode klasifikasi kumpul dokumen algoritma manfaat metode probabilitas statistik prediksi probabilitas dasar alam metode statistik bayesian teknologi anti spam filter bayesian filtering tingkat akurasi error rate minimum hasil implementasi program klasifikasi email spam email spam email mail client otomatis salah klasifikasi spam email harap sistem klasifikasi tingkat akurat spam email identifikasi
138,solindo milik transaksi laku bilang solindo laku transaksi purchase order laku manual barang pesan customer tulis kertas pesan data purchase order kelola datadata kait integrasi buka file kerja buah lapor kelola purchase order usaha efektif efisien usaha mudah lihat data purchase order masuk data kirim aplikasi purchase order outsole butuh mudah kelola data data purchase order utama data kirim barang outsole aplikasi purchase order outsole metode prototype tulis pilih metode metode prototype rupa metode kembang perangkat lunak interaksi kembang sistem sistem ketidakserasian kembang aplikasi purchase order solindo input data pesan kirim pesan masuk bentuk lapor aplikasi purchase order solindo hasil lapor kena pesan masuk kirim barang
139,ridwan jaya rupa buah usaha konveksi produksi jenis usaha manual jalan pola bisnis efektif efisien kola data lambat proses olah data bahan baku produksi kembang sistem teliti sistem fokus kelola barang gudang gudang rupa salah proses produksi usaha usaha butuh kelola bahan baku gudang mengatahui barang gudang butuh ramal bahan baku produksi ramal barang gudang grafik signifikan ubah sistem bangun rupa buah sistem ramal metode simple moving average bahan baku gudang exponential smoothing barang produk gudang hasil olah sistem harap tingkat efektivitas efisiensi kelola data barang tingkat usaha
140,gudang simpan barangbarang material sifat pakai penuh butuh operasi usaha lindung hadap rusak kondisi aman barangbarang material arti gudang tumpuk barangbarang material sedia sesuai butuh kendali sedia barangbarang material aplikasi barangbarang material sistem manual formulirformulir dasar terima material kesalahankesalahan utama tampil sedia material gudang prosesproses gudang pengaruh kerja usaha mekanisme kerja gudang tunjang maju usaha aplikasi barangbarang material depok rupa sistem kembang penuh butuh informasi sifat cepat akurat depok sistem kembang model waterfall rancang sistem gambar data flow diagram dfdaplikasi barangbarang material depok rupa gabung fungsi kelola database data material depok kembang software visula basic microsoft acces database metode fifo first first barang kali beli sedia kali jual untung metode ending inventorynya catat harga gambar kondisi tulis ambil sistem informasi inventory barangbarang material topik tugas program strata jurus teknik informatika universitas widyatama judul aplikasi kelola barangbarang material mengunakan metode fifo
141,jaring adhoc rupa kumpul node wireless dinamis bentuk jaring node milik beban komunikasi libat alat dukung router access point hubung komunikasi node buah node tindak router protokol routing cari jalur jaring adhoc protokol routing jenis proactive reactive routing protocol aodv adhoc ondemand distance vector dymo dynamic manet ondemand rupa jenis reactive routing protocol jaring adhoc teliti tuju uji kerja routing protocol banding throughput packet loss delay teliti batas posisi node statis immobile variasi node variasi beban data byte byte byte teliti laku mensimulasikan kerja routing protocol software network simulator dukung command language hasil routing protocol dymo aodv banding packet loss delay routing procol aodv dymo banding tingkat throughput hasil masingmasing routing protocol
142,kendara kondisi simpang salah picu macet macet timbul simpang lintas kendara simpang imbang lintas kondisi padat simpang jalur kondisi jalur rebut efisien padat beda jalur timbul tumpuk kendara jalur sistem lampu lintas putus durasi lampu dasar kondisi antri kendara nyala lampu sesuai kondisi padat real durasi nyala lampu jalur laku model matematis dasar data riwayat arus lintas sensor jarak jalur kondisi lancar padat macet proses mikrokontroler metode adaptive neuro fuzzy inference systems anfis hasil uji sistem lampu lintas metode anfis tunggu kendara hadap jalur macet menit banding tunggu kendara sistem lampu lintas metode timer delay
143,kembang teknologi komputasi media simpan manusia kumpul simpan data sumber fenomena bidang hidup masuk dunia bisnis salah sumber informasi bantu giat jual usaha system database informasi harga data transaksi analisis rancang data mining metode market basket analysis database milik bloods industries manfaat optimal kondisi akibat data simpan informasi dukung ambil putus strategis bloods industries data usaha laku putus strategi tingkat profit usaha latar tulis system data mining fungsi mensimulasikan assosiasi item product produk item produk data pakai bahan olah data transaksi bloods industries system data mining kembang pakai metode kembang waterfall model visual data flow diagram sistem simulasi kena atur assosiasi item pola belanja konsumen
144,judul berita kandung clickbait internet clickbait rujuk judul berita sengaja rancang goda baca judul berita clickbait sesat rugi lanjur buka baca judul berita sesuai clickbait bahasa provokatif tarik perhati identifikasi golong buah judul berita duga clickbait laku lihat bahasa kalimat judul internet kenal pola jebak buah judul berita clickbait teliti identifikasi clickbait laku aneka metode temu filter saring kelompok judul berita clickbait teliti deteksi clickbait dasar teks metode beda teliti tuju klasifikasi juduljudul berita bahasa indonesia teliti laku data juduljudul berita bahasa indonesia kumpul mediamedia online nasional
145,pakai orang aktifitas orang mandi cuci kakus minum ganggu terkadang orang pikir betapa pakai efektif sibuk gesa gesa laku aktifitas teliti pantau pakai toren tampung teliti laku kirim data sensor ultrasonik pantau hitung debit kembang batas teliti tulis water flow sensor alat ukur debit data hasil pantau debit kirim langsung user modul wireless fidelity wifi kirim data cepat efektif efisien hasil capai teliti bangun buah prototype sistem pantau pakai airjarak sumber rumah prototype sistem bangun mikrokontroler sensor water flow sensor ukur debit kirim data mikrokontroler perangkat mobile modul wireless fidelity wifi harap sistem bantu pakai rumah efektif hemat
146,iring kembang zaman model simulasi kembang pesat bentuk model simulasi bentuk fisik bentuk virtual model simulasi aplikasi bidang salah bidang model rancang desain taman kota gabung teknologi kembang teknologi mobile smartphone basis android teknologi model augmented reality rupa teknologi gabung benda maya buah lingkung nyata proyeksi bendabenda maya real time bangun sistem model buah rancang taman kota perangkat android dap bantu proses model rancang taman kota laku perangkat android gabung objek nyata
147,specs futsalogy rupa turnamen futsal libat jarak kompetisi relative pendek selenggara turnamen libat ajar tingkat sekolah sekolah universitas rupa sarana tingkat potensi calon bibit main futsal turnamen adakan tingkat potensi main individu kompetisi skala nasional teliti tuju catat tanding futsal langgar langgar kartu merah langgar kartu kuning tendang penjuru tendang bebas tendang pinalti tendang gawang maksud catat hasil tanding main futsal ulang salah aplikasi bangun metode waterfall bangun aplikasi xampp server lokal bangun aplikasi basis dreamweaver media bangun interface coding program rancang sistem gambar tools unified modeling language case diagram collaboration diagram diagram sistem aplikasi harap mudah proses penggumpulan data
148,sakit demam darah rupa sakit infeksi virus dengue tular gigit nyamuk aedes aegepty aedes albopictus sakit virus mati hadap gejala sakit sistem pakar diagnosa sakit demam darah rupa sistem pakar rancang alat bantu mendiagnosa sakit demam darah basis dinamis sistem pakar rupa sistem komputer laku nalar orang pakar ahli ahli sistem pakar ganti peran orang pakar prinsip kerja hasil laku orang pakar aplikasi sistem pakar diagnosa sakit metode forward chaining tampil pilih gejala pilih user pilih gejala bawa user pilih gejala hasil diagnosa solusisaran rancang aplikasi metode kembang waterfall desain model unified modelling laungage terap sofware eclipse mysql databasenya bahasa program java hasil teliti aplikasi sistem pakar diagnosa sakit demam darah dengue akses perangkat mobile sistem operasi android
149,kriminalitas serius rugi moral material polrestabes struktur komando daerah kota provinsi indonesia tugas jaga aman tertib masyarakat operasional polrestabes tugas selenggara operasi polisi liput kumpul olah data target operasi data struktur kait kriminalitas tingkat cepat tunjang proses analisis pola kriminalitas metode data mining self organizing metode data mining jaring saraf tiru proses pembelajaranya target output sistem fuzzy terap hilang variabel input dominan self organizing bentuk cluster wilayah polsek polrestabes bandung dasar frekuensi kriminalitas cluster anggota wilayah polsek milik karakteristik dasar variabel input data laku teliti data lapor kriminalitas kurun hasil teliti cluster cluster karakteristik beda cluster
150,enigma encryption rupa buah metode algoritma kriptografi klasik fungsi enkripsi deskripsi karakter pesan data algoritma klasik masuk sistem kriptografi simetri kunci publik temu tugas bangun kembang modul aplikasi sistem enkripsi data metode algoritma enigma terap digital voting system tuju tingkat aman kerahasiaaan data data kirim client database server aman proses curi sadap data metodologi sistem fountain model tools dukung ooad object oriented analysisdesign bahasa konsisten visualisasi mengkontruksi dokumentasi artifact sistem software implementasi sistem bangun bahasa program dbms mysql apache server protokol https hasil modul apikasi metode enkripsi algoritma enigma digital voting system tulis kirim data pilih voter hasil suara pilihanya bentuk plainteks tipe data string rahasia aman data dienkripsideskripsi cipherteks acak berubahubah buah mesin rotor mesin roda gerak proses rumit
151,sakit hepatitis rupa rendah sadar paham masyarakat tugas sehat kena sakit terap algoritma knearest neighbor kerja dasar jarak pendek query instance training sample knearest neighbor nyadimana sakit hepatitis class hidup mati klasifikasi voting klasifikasi obyek teliti laku teliti andal metode knearest neighboruntuk sakit hepatitis metodologi cross industry standard process data mining cripsdm metode tahapantahapan mudah bangun sistem hasil ratarata persentase akurasi uji banding data testing data training persentase akurasi rendah data random uji hasil persentase akurasi rendah
152,usaha bintang mitra pratama buah usaha lai aksesoris pakai jual pabrikpabrik pakai pesan client aksesoris pilih bahan baku cermat hatihati barang sesusai client usaha terkadang sulit atur jadwal barang sistem memonitoring jadwal pesan proses jadwal rencana ukur solusi laku hadap metode eprocurement sistem lihat butuh produksi user masuk produksi logistik penuh bahan baku penuh mudah proses beli bahan baku atur jadwal pesan interval latar kembang sistem logistik procurement bintang mitra pratama basis teliti harap mudah bahan baku dasar periode menginvertarisir bahan baku informasi kena jadwal pesan bahan baku supplier memonitroing jadwal interval
153,kabupaten purworejo daerah agraris lahan tani struktur ekonomi daerah potensi daya dukung sektor tani capai dominasi tanam bahan makan capai luas lahan tani kabupaten purworejo sawah air teknis tadah hujan air teknis sawah air tadah hujan rupa sawah sumber utama curah hujan data curah hujan linear akibat model data matematis sulit laku selesai kerja prediksi pola nonlinear rupa buah model adopsi kerja neuron biologis fokus kerja saraf otak metode bangun perangkat lunak waterfall aplikasi visual studio interface sistem rancang analisis model bahasa unified modeling language olah basis data microsoft access aplikasi laku normalisasi data latih uji hasil ramal curah hujan tingkat akurasi capai saran kembang harap algoritma banding hasil akurasi
154,bahan baku pegang peran produksi sepatu rencana sedia bahan baku laku proses produksi jalan optimal hadap kait sedia bahan baku tumpuk sedia bahan baku biaya simpan usaha akibat proses pesan bahan baku safety stock laku dasar laku sistem aplikasi rencana bahan baku tuju ramal pakai bahan baku pesan bahan baku safety stock total biaya sedia optimal ramal pakai bahan baku metode simple moving average hitung rencana bahan baku metode economic order quantity teliti teliti fountain model metodologi bangun perangkat lunak tools unified modeling language bangun sistem rencana bahan baku bahasa program script mysql server basis data apache server sistem operasi microsoft windows dasar hasil olah data metode economic order quantity bantu sistem aplikasi rencana bahan baku pesan bahan baku upper meter bahan baku tatak meter bahan baku insol lembar bahan baku outsol lembar bahan baku pasang bahan baku besi tampsin pasang safety stock bahan baku upper meter bahan baku tatak meter bahan baku insol lembar bahan baku outsol lembar bahan baku pasang besi tampsin pasang bahan baku upper meter bahan baku tatak meter bahan baku insol lembar bahan baku outsol lembar bahan baku pasang besi tampsin pasang total biaya sedia metode economic order quantity total biaya sedia dasar metode jalan usaha selisih hasil
155,smart home rupa salah populer zaman modern jenis fitur teknologi nirkabel akses internet hidup warga mudah organisir sandang disabilitas operasi perangkat rumah fleksibel hadap sandang disabilitas fasilitas ramah sandang disabiltas kembang perangkatperangkat rumah lampu tirai pintu kipas lainlain kendali huni rumah langsung bantu alat smart home basis internet things rancang bantu sandang disabilitas kontrol alat listrik alat ruang aplikasi seluler terima perintah suara konfigurasi bluetooth koneksi mikrokontroler arduino desain mikrokontroler alat rumah fisik hubung port output relay
156,tugas website implementasi studi cari contohcontoh utsuas materi kuliah uji utsuas rupa tolak ukur proses ajar mahasiswa jenjang didik sistem ajar ajar mahasiswa peran maju didik nasional indonesia ajar mahasiswa baca materi kerja soalsoal latih hafal materi salah metode laku mahassiwa ajar kerja soalsoal utsuas semester ajar mahasiswa dukung arsip data struktur arsip bentuk dokumen arsip atur tulis aplikasi basis mudah cari soalsoal utsuas butuh tuju kembang aplikasi atur contoh soalsoal utsuas laku pusat online manfaat internet jaring kembang pesat contoh soalsoal utsuas materimateri kuliah langsung download bangun website bahasa program mysql basis data aplikasi harap bantu mahasiswa khusus cari soalsoal utsuas materi kuliah universitas widyatama fakultas teknik informatika sesuai kriteria
157,sistem cerdas hadir metode kenal wajah face recognition rupa buah sistem anggap catat simpan data hadir teknik deteksi wajah buah metode haar cascades kenal wajah metode local binary pattern histogram lbph tuju deteksi wajah proses gambar wajah persegi teliti butuh data datadata simpan database mudah kelola data sistem rancang bahasa python rancang buah website bahasa hypertext preprocessor dasar hasil teliti metode local binary pattern histogram lbph metode kenal wajah sistem cerdas hadir kenal wajah deteksi metode haar cascades gabung metode haar cascades metode lbph deteksi citra wajah cepat sistem fitur connect parent
158,beras bahan pokok utama manusia bulog salah usaha peran simpan sedia beras salur wilayah indonesia angkat bahas sedia beras khusus raskin beras miskin lihat hasil rencana realisasi metode decision tree alas metode hasil hasil prediksi sedia beras nilai rencana hasil nilai realisasi decision tree rupa model prediksi struktur pohon struktur berhirarki pohon putus eksplorasi data temu hubung sembunyi calon variabel input buah variabel target pohon putus padu eksplorasi data model bagus langkah proses model model teknik software bangun sistem beras raskin visual studio rancang sistem aplikasi bangun hasil nilai output prediksi rencana kumulatif nilai akurasi akurasi nilai februari
159,kembang teknologi informasi kembang pesat manfaat manusia masuk teknologi image processing image processing salah jenis teknologi selesai kena proses gambar tuju salah proses baca meter rumah proses baca meter rumah laku manual tugas catat stand meter rumah serah staff billing staff billing laku input data manual kali kendala salah input human error dasar bangun aplikasi baca karakter angka meter bantu olah citra harap perangkat lunak baca karakter angka meter mudah teliti tools implementasi kode program tampil antarmuka bahasa program matlab metode perangkat lunak prototyping model perangkat lunak unified modelling language hasil uji citra citra angka kenal perhati posisi ambil gambar intensitas cahaya pengaruh proses kenal utama proses image preprocessing baca noise derau sulit proses kenal
